title,description,published date,url,publisher
WHO's response to COVID-19 - 2022 Mid-Year Report - World Health Organization (WHO),WHO's response to COVID-19 - 2022 Mid-Year Report  World Health Organization (WHO),"Tue, 27 Sep 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3Lndoby5pbnQvcHVibGljYXRpb25zL20vaXRlbS93aG8tcy1yZXNwb25zZS10by1jb3ZpZC0xOS0yMDIyLW1pZC15ZWFyLXJlcG9ydNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.who.int', 'title': 'World Health Organization (WHO)'}"
Focus: Europe's hopes for busy post-COVID summer dim as Chinese tourists stay away - Reuters,Focus: Europe's hopes for busy post-COVID summer dim as Chinese tourists stay away  Reuters,"Mon, 20 Mar 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2V1cm9wZS9ldXJvcGVzLWhvcGVzLWJ1c3ktcG9zdC1jb3ZpZC1zdW1tZXItZGltLWNoaW5lc2UtdG91cmlzdHMtc3RheS1hd2F5LTIwMjMtMDMtMjAv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
Side Effects From the COVID-19 Booster Shot - Health.com,Side Effects From the COVID-19 Booster Shot  Health.com,"Mon, 06 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LmhlYWx0aC5jb20vY29uZGl0aW9uL2luZmVjdGlvdXMtZGlzZWFzZXMvY29yb25hdmlydXMvY292aWQtMTktYm9vc3Rlci1zaG90LXNpZGUtZWZmZWN0c9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.health.com', 'title': 'Health.com'}"
DeSantis's COVID Gamble Paid Off - The Atlantic,DeSantis's COVID Gamble Paid Off  The Atlantic,"Thu, 10 Nov 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnRoZWF0bGFudGljLmNvbS9pZGVhcy9hcmNoaXZlLzIwMjIvMTEvZGVzYW50aXNzLWNvdmlkLWdhbWJsZS1wYWlkLW9mZi82NzIwNjMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.theatlantic.com', 'title': 'The Atlantic'}"
Augusta University President Keel tests positive for COVID-19 - Jagwire – Augusta,Augusta University President Keel tests positive for COVID-19  Jagwire – Augusta,"Mon, 15 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vamFnd2lyZS5hdWd1c3RhLmVkdS9hdWd1c3RhLXVuaXZlcnNpdHktcHJlc2lkZW50LWtlZWwtdGVzdHMtcG9zaXRpdmUtZm9yLWNvdmlkLTE5L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://jagwire.augusta.edu', 'title': 'Jagwire – Augusta'}"
Biden: 'The pandemic is over' - CNN,Biden: 'The pandemic is over'  CNN,"Sun, 18 Sep 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wOS8xOC9wb2xpdGljcy9iaWRlbi1wYW5kZW1pYy02MC1taW51dGVzL2luZGV4Lmh0bWzSAUVodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIyLzA5LzE4L3BvbGl0aWNzL2JpZGVuLXBhbmRlbWljLTYwLW1pbnV0ZXM?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cnn.com', 'title': 'CNN'}"
Understanding the link between long COVID and mental health conditions - American Heart Association News,Understanding the link between long COVID and mental health conditions  American Heart Association News,"Thu, 17 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmhlYXJ0Lm9yZy9lbi9uZXdzLzIwMjMvMDgvMTcvdW5kZXJzdGFuZGluZy10aGUtbGluay1iZXR3ZWVuLWxvbmctY292aWQtYW5kLW1lbnRhbC1oZWFsdGgtY29uZGl0aW9uc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.heart.org', 'title': 'American Heart Association News'}"
"What to know about fall flu, coronavirus and RSV vaccines for kids - The Washington Post","What to know about fall flu, coronavirus and RSV vaccines for kids  The Washington Post","Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9oZWFsdGgvMjAyMy8wOS8yOS9mbHUtY292aWQtcnN2LXZhY2NpbmVzLWtpZHMtZmFsbC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.washingtonpost.com', 'title': 'The Washington Post'}"
How Bill Gates and partners used their clout to control the global Covid response — with little oversight - POLITICO,How Bill Gates and partners used their clout to control the global Covid response — with little oversight  POLITICO,"Wed, 14 Sep 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjIvMDkvMTQvZ2xvYmFsLWNvdmlkLXBhbmRlbWljLXJlc3BvbnNlLWJpbGwtZ2F0ZXMtcGFydG5lcnMtMDAwNTM5NjnSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.politico.com', 'title': 'POLITICO'}"
Neutralization activity of IgG antibody in COVID‑19‑convalescent plasma against SARS-CoV-2 variants | Scientific ... - Nature.com,Neutralization activity of IgG antibody in COVID‑19‑convalescent plasma against SARS-CoV-2 variants | Scientific ...  Nature.com,"Mon, 23 Jan 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTk4LTAyMy0yODU5MS0z0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nature.com', 'title': 'Nature.com'}"
